code,abbreviation,element,time_period,element_name,description,element_scale,units,symbol
71,SOILN5,soiltemp,daily,Temp; soil1M min,Temperature; soil; daily minimum at 100 cm,0.1,Degrees C,wi-thermometer
72,TTS005,soiltemp,daily,soilTemperature05cm,Temperature,,,wi-thermometer
73,TTS010,soiltemp,daily,soilTemperature10cm,Temperature,,,wi-thermometer
74,TTS020,soiltemp,daily,soilTemperature20cm,Temperature,,,wi-thermometer
75,TTS050,soiltemp,daily,soilTemperature50cm,Temperature,,280,wi-thermometer
76,TTS100,soiltemp,daily,soilTemperature100cm,Temperature,,280,wi-thermometer
77,TTS150,soiltemp,daily,soilTemperature150cm,Temperature,,440,wi-thermometer
78,TTS200,soiltemp,daily,soilTemperature200cm,Temperature,,,wi-thermometer
79,TTS300,soiltemp,daily,soilTemperature300cm,Temperature,,,wi-thermometer
80,MXSOIL,soiltemp,daily,Temp;soil dly ma,Temperature; soil; daily maximum,0.1,Degrees C,wi-thermometer
81,MNSOIL,soiltemp,daily,Temp;soil dly mi,Temperature; soil; daily minimum,0.1,Degrees C,wi-thermometer
82,DSOIL,soiltemp,daily,Temp; soil daily,Temperature; soil; daily,0.1,Degrees C,wi-thermometer
178,TTS030,soiltemp,hourly,soilTemperature30cm,Temperature,,,wi-thermometer
179,TTS060,soiltemp,hourly,soilTemperature60cm,Temperature,,,wi-thermometer
180,TTS120,soiltemp,hourly,soilTemperature120cm,Temperature,,,wi-thermometer
286,SOILMIN,soiltemp,monthly,BareSoilMinimumTemperature,Bare Soil Minimum temperature,0.1,Degrees C,wi-thermometer
900,AWSSOLTEMP,soiltemp,aws,AWS; Soil Temp,AWS Soil Temperature,0.1,deg Centigrade,wi-thermometer
83,STRMFL,streamflow,daily,Stream Flow,Stream flow; Daily mean,1.0,Meters**3/Second,wi-flood
45,SUNSHI,sunshine,daily,Percent Poss Sun,Percent of possible sunshine; daily,1.0,Percent,wi-day-sunny
